Rank,Club,Partidos jugados,Victorias,Empates,Derrotas,Goles marcados,Goles en contra,Diferencia de goles,Puntos,Ultimo partido,Ultimo partido -1,Ultimo partido -2,Ultimo partido -3,Ultimo partido -4
1,River Plate,14,11,1,2,25,6,19,34,Empate,Victoria,Victoria,Victoria,Victoria
2,San Lorenzo,14,8,4,2,15,5,10,28,Empate,Victoria,Empate,Victoria,Victoria
3,Defensa y Justicia,14,8,3,3,20,8,12,27,Victoria,Victoria,Victoria,Victoria,Derrota
4,Talleres,14,7,3,4,23,12,11,24,Victoria,Derrota,Empate,Empate,Victoria
5,Estudiantes,14,7,3,4,16,13,3,24,Victoria,Victoria,Victoria,Empate,Victoria
6,Belgrano,14,7,3,4,13,11,2,24,Derrota,Victoria,Victoria,Victoria,Victoria
7,Rosario Central,14,6,5,3,19,19,0,23,Derrota,Empate,Empate,Victoria,Empate
8,Lanús,13,6,4,3,21,14,7,22,Victoria,Empate,Empate,Victoria,Derrota
9,Godoy Cruz,14,6,3,5,18,18,0,21,Empate,Victoria,Empate,Victoria,Empate
10,Tigre,14,5,5,4,14,14,0,20,Empate,Victoria,Empate,Victoria,Empate
11,Argentinos Jrs.,14,5,4,5,17,12,5,19,Empate,Derrota,Empate,Victoria,Derrota
12,Newell's,14,5,4,5,10,12,-2,19,Empate,Derrota,Derrota,Victoria,Empate
13,Boca Juniors,14,5,3,6,18,15,3,18,Victoria,Empate,Derrota,Derrota,Derrota
14,Racing,14,5,3,6,17,19,-2,18,Derrota,Derrota,Empate,Derrota,Derrota
15,Central Córdoba,14,5,3,6,10,15,-5,18,Victoria,Derrota,Derrota,Empate,Victoria
16,Platense,14,4,5,5,15,17,-2,17,Derrota,Derrota,Empate,Derrota,Victoria
17,Instituto,14,4,5,5,13,16,-3,17,Derrota,Empate,Derrota,Victoria,Derrota
18,Vélez,14,3,7,4,16,13,3,16,Empate,Derrota,Empate,Derrota,Empate
19,Sarmiento,14,4,4,6,15,15,0,16,Empate,Derrota,Victoria,Derrota,Victoria
20,Huracán,14,4,4,6,15,19,-4,16,Victoria,Derrota,Empate,Derrota,Derrota
21,Banfield,14,3,6,5,9,15,-6,15,Empate,Empate,Victoria,Derrota,Empate
22,Gimnasia,14,4,3,7,14,23,-9,15,Empate,Victoria,Derrota,Derrota,Victoria
23,Colón,14,2,8,4,12,16,-4,14,Derrota,Victoria,Empate,Empate,Victoria
24,Atlético Tucumán,14,2,8,4,12,17,-5,14,Empate,Victoria,Empate,Empate,Derrota
25,Barracas Central,14,3,5,6,10,18,-8,14,Empate,Derrota,Empate,Victoria,Derrota
26,Independiente,14,2,7,5,11,15,-4,13,Victoria,Derrota,Empate,Derrota,Derrota
27,Arsenal,14,3,2,9,12,21,-9,11,Derrota,Victoria,Derrota,Derrota,Derrota
28,Unión,13,1,5,7,8,20,-12,8,Derrota,Empate,Derrota,Derrota,Derrota
