Fecha,Home,vs,Away,Time - League,Match Number
2023-05-07,River Plate,v,Boca Juniors,10:30 PM Liga Profesional de Argentina,1
2023-05-15,Talleres (Córdoba),v,River Plate,2:30 AM Liga Profesional de Argentina,2
2023-05-21,River Plate,v,Platense,P.A. Liga Profesional de Argentina,3
2023-05-28,Vélez Sarsfield,v,River Plate,P.A. Liga Profesional de Argentina,4
2023-06-04,River Plate,v,Defensa y Justicia,P.A. Liga Profesional de Argentina,5
2023-06-11,Banfield,v,River Plate,P.A. Liga Profesional de Argentina,6
2023-06-21,River Plate,v,Instituto (Córdoba),P.A. Liga Profesional de Argentina,7
2023-07-02,Barracas Central,v,River Plate,P.A. Liga Profesional de Argentina,8
2023-07-05,River Plate,v,Colón (Santa Fe),P.A. Liga Profesional de Argentina,9
2023-07-09,San Lorenzo,v,River Plate,P.A. Liga Profesional de Argentina,10
2023-07-16,River Plate,v,Estudiantes de La Plata,P.A. Liga Profesional de Argentina,11
2023-07-23,Rosario Central,v,River Plate,P.A. Liga Profesional de Argentina,12
2023-07-30,River Plate,v,Racing Club,P.A. Liga Profesional de Argentina,13
